text,score
"Aileen Gonsalves, my girlfriend, is in this film playing a secretary at the main character's bank. She has a lovely scene with Roshan Seth in a restaurant. There's more information on her website at >Having stated my personal interest in the film, I have to say that I think it is a beautiful movie - moving, funny and beautifully filmed.",1
"Jonathan Demme's directorial debut for Roger Corman's legendary exploitation outfit New World Pictures rates highly as one of the finest chicks-in-chains 70's grindhouse classics to ever grace celluloid. Beauteous Russ Meyer starlet Eric (""Vixen,"" ""Beyond the Valley of the Dolls"") Gavin gives a robust, winning performance as a brassy, resilient new fish who does her best to persevere in a grimy, hellish penitentiary. The always fabulous Barbara Steele offers a deliciously wicked portrayal as the mean, crippled, sexually frustrated warden (her erotic dream about doing a slow, steamy striptease in front of the lady inmates is a real dilly). Longtime favorite 70's B-movie actress Roberta (""The Arousers,"" ""Unholy Rollers"") Collins delivers a hilariously raunchy and endearing turn as a cheerfully forward, foul-mouthed kleptomaniac felon who tells a gut-busting dirty joke about Pinnochio. Lynda Gold (a.k.a. Crystin Sinclaire of Tobe Hooper's ""Eaten Alive"" and Curtis Harrington's ""Ruby"") makes her lively film debut as uninhibited wildcat Crazy Alice. And the ever-cuddly Cheryl ""Rainbeaux"" Smith does a lovely, touching reprise of her fragile frightened innocent role from ""Lemora: A Child's Tale of the Supernatural."" <br /><br />Although this picture does deliver the expected ample amount of coarse language, nudity, rape and violence, it's still by no means a typically crass and sexist piece of lurid mindless filth; the movie very effectively explores the many ways in which men cruelly exploit women and strongly asserts the pro-feminist notion that women can overcome any obstacles if they band together into a group so they can bravely face their misogynistic oppressors as one mighty fighting force. Demme's zesty, confidant direction comes through with a glorious abundance of astutely observed incidental details and delightful moments of engagingly quirky human behavior. Furthermore, both Tak Fujimoto's vibrant cinematography and John Cale's marvelously dolorous oddball blues score are 100% on the money excellent. Patrick Wright (Sheriff Mack in the uproariously awful cheap-rubber-monster-suit creature feature howler ""Track of the Moonbeast"") has a sidesplitting bit as a jerky cop who has his car stolen by a trio of prison escapees when he stops at a gas station to use the bathroom. Lively, rousing and immensely enjoyable, ""Caged Heat"" qualifies as absolutely essential viewing for 70's drive-in movie fans.",1
"When I rented this movie to watch it, I knew that it was not going to be a mindbender movie. Instead I thought of it as a disbelief of reality where someone is going to get a serious beating. And you know what it worked. Kurt Russel did what I though was a remarkable role in showing the emotionless soldier that he was. I recommend this movie if your out with the boys and want to watch a good action film.",1
"It's hard to say sometimes why exactly a film is so effective. From the moment I first came across ""The Stone Boy"", something told me it would be a great film. In spite of that, it seemed very unlikely that I'd ever have the opportunity to actually see it for myself. Then, one day, while looking through the online catalogue of my local library, I saw that they had recently purchased the DVD release of this film. Which I'm extremely glad for, because the cinematography is of a stunning depth and quality that an old VHS copy could never replicate.<br /><br />And speaking of the cinematography, I must single it out as far and above the most stunning aspect of this film. As a photographer who pursues very nearly the exact visual style portrayed in ""The Stone Boy"", I'm a firm believer in the fact that a great cinematographer can almost single-handedly carry a film. Here, he has a lot of help from an extremely talented cast, and a director who understands perfectly what the story needs. But to have Juan Ruiz Anchía behind the camera makes virtually every scene something of beauty. And you can almost never say that. Most films would never even expect such a thing of you. Scene after scene captures some detail, some little bit of visual magic that takes your breath away.<br /><br />The director, Christopher Cain, has had a long and interesting career. As far as I can gather, this film is not very representative of it. But, sometimes, to catch a director near the beginnings of his career, before all the big budgets and loss of focus, there's a real subtle magic to be found. Cain steps back in this film, lets things happen with a life of their own, and then ever further. Much like early John Sayles films, characters are given space to breathe, time to talk. Side stories happen because they do, and that's how life is. Cain displays a remarkable, raw, even outright painful understanding of human nature in this film.<br /><br />The acting ties much of this story together. When people talk, when they exist in this film, they do so as actual people, not held back by the fact that they are playing characters. Gina Berriault's script allows immensely talented and respected actors like Wilford Brimley, Robert Duvall, Glenn Close, and Frederic Forrest to spend time simply existing. Whether the things they have to say are minor or of deep significance, it all comes down with the weight of pure reality.<br /><br />When you look at the actors involved, or the great soundtrack by James Horner, it seems strange that such a film be very nearly forgotten. Maybe much of what makes ""The Stone Boy"" what it is was the time period it was made in. There's this 1970s hangover feeling to this picture that reminds me deeply of my own childhood. People talk of the 80s in terms of modern styles and music, but that's not the 80s I lived in or remember. The look of the images, the understated and dark knowing quality of the acting, and the overall result should get under the skin of any person who grew up in or near this era of time in North America. I see myself in this. I see how I saw the world. And a film like ""The Stone Boy"" sees the world for how it truly is.<br /><br />For more of this feeling, please see:<br /><br />The Black Stallion (1979), Never Cry Wolf (1983), Tender Mercies (1983), Testament (1983), Places in the Heart (1984), Matewan (1987), High Tide (1987), Driving Miss Daisy (1989), The Secret Garden (1993), The Secret of Roan Inish (1994), Wendy and Lucy (2008)",1
"Yes, this gets the full ten stars. It's plain as day that this fill is genius. The universe sent Trent Harris a young, wonderfully strange man one day and Harris caught him on tape, in all that true misfit glory that you just can't fake. Too bad it ended in tragedy for the young man, if only an alternate ending could be written for that fellow's story. The other two steps in the trilogy do retell the story, with Sean Penn and Crispin Glover in the roles of the young men, respectively. The world is expanded upon and the strangeness is contextualized by the retelling, giving us a broader glimpse into growing up weird in vanilla America. Recommended for anyone and everyone!",1
Hello. This movie is.......well.......okay. Just kidding! ITS AWESOME! It's NOT a Block Buster smash hit. It's not meant to be. But its a big hit in my world. And my sisters. We are rockin' Rollers. GO RAMONES!!!! This is a great movie.............. For ME!,1
"This is a film that was very well done. I had heard mixed reviews while it was in production and have been waiting for its release! Cheers to the director and all the actors. The supporting cast gave Eva Mendez what she needed to take this to the top. As everyone else here states, the latter portion of the film is riveting. Katie Cassidy did an amazing job with her character, being she had not done a lot of work when this film was made. She has quite the career ahead of her. I was amazed at her performance. I completely enjoyed the film, questioned my values in life and priorities, and am a better person for it! A great message lies within the film. Release it so all can enjoy!",1
"A typical romp through Cheech and Chong's reality which includes drugs, singing, more drugs, cars and driving, even more drugs, Pee Wee, aliens, gasoline, laundry, stand up comedy, surprisingly more drugs and SPACE COKE !!. It is not as coherent or plausible as Up in Smoke but it still is incredibly funny, without becoming as strange as Nice Dreams. There are some classic scenes, which include the opening scene where they get some gas for their car and the drive to work. Also funny is Cheech's song (Mexican-Americans) and Chong's follow up song. Another notable scene is the welfare office scene with Jones (human noise machine), from the Police Academy series, and the old laughing man. All in all, this is a great follow up to Up in Smoke and is quite watchable when sober or not.<br /><br />-Celluloid Rehab",1
OK heres what I say: <br /><br />The movie was excellent. I am a huge Nancy fan and I have read all 1-56 original books and I went on to read more. I am now on 96. Beware of villains giving this movie a lower grade than it should have. All clues point to a wonderful movie! I loved the whole thing. So what Nancy is in current time. She is still old fashioned like she is in the books! People who haven't read more than 5 books are complaining about the view of Nancy. I have read all of them and I think Emma is perfect and that Nancy was perfect. I found parts of the movie spooky. I loved the exciting car chases and get aways. I loved the clues. I solved the mystery myself! It was really wonderful. I suggest you go see it since people who have been complaining know nothing of A what a good movie is and B about Nancy Drew. Go see it. It may not be Oscar worthy but its really a good movie.,1
"This is one of the first films I can remember, or maybe the first one. Exactly the beautiful kind of film than introduce a kid, sweetly, into the world of violence and addictions were we live. A little bit of Babe, Casino and Constantine, all this well mixed into a carton, and we get this. I don't know if its truly rated for kids, but I think it was very cool, very funny and interesting. I hate when a film (spescially a carton)can have a good end and its ruining because every character must have a happy end, even if it sounds weird (Im not a bitter person).But this was OK, he simply goes heaven and they let it in that way.<br /><br />All this is just a critic, Its a good movie an something new. very touching and I gotta go",1
"This film is worth seeing alone for Jared Harris' outstanding portrayal of John Lennon. It doesn't matter that Harris doesn't exactly resemble Lennon; his mannerisms, expressions, posture, accent and attitude are pure Lennon. Best scene: Lennon in a local cafe verbally sparring with a stuttering fan as to whether Paul McCartney & Wings' ""Silly Love Songs"" is worthy of #1 status in America.",1
"I was 10 years old when this show was on TV. By far it was my favorite. The actors were very credible. Alexandra Bastedo was just gorgeous.... I just order the DVD (15 episodes). They didn't have super-powers. They just had superior human skills (strength, hearing, sight). The 3 actors were very good in their rolls, very believable. There was a good story in each episode. At the time, there were no special effects or explosions everywhere, so the script was suppose to be good, and the characters performs were great. There was no fancy stuff, like in other shows. They didn't try to make a joke every 2 minutes to make a light show. I highly recommend this TV show to anybody that like good stuff.",1
"Here's another movie that should be loaded into a satellite, fired into space and pointed in the direction of the galaxy Andromeda to show distant possible civilizations the best of humanity. This movie is so endearingly stupid and revealingly honest in being little more than a rip-off of the already bad movie classic KING KONG from 1976 that it not only manages to upstage that film in terms of sheer belly laugh idiotic goofiness, but successfully predicted much of Peter Jackson's miserable 2005 computer cartoon bearing the same name, as far as a ""romance"" between the giant (here a Yeti) and a gorgeous human female (Antonellina Interlenghi of Umberto Lenzi's CITY OF THE LIVING DEAD, who is very easy on the eyes).<br /><br />The film was made for kids so aside from some innuendo over fish bones and a bizarre nipple tweak to say goodbye you can forget about sex -- the Yeti even has a sort of giant jock strap to cover up his monstrous package, the result being even more amusing than anatomical correctness. But as a trade-off you DO get a wacky old scientist, two inquisitive kids, Tony Kendall in a rare turn as a duplicitous bastard of a villain, a helpful intelligent collie dog who gets to have her own adventure (Dog Adventure movies were big in Europe for a while) and of course emerges as the hero at the end for saving the Yeti, who turns out to be the good guy, glorious stuff like front end loaders decorated to look like giant ape hands, a monster who's size literally changes scale from shot to shot, some inappropriately horrible deaths that will make the carnage in GODZILLA VS THE SMOG MONSTER look tame by comparison, crowd reaction shots a-plenty made up of either Spanish, Italian or Canadian extras depending upon scene (you can sort of tell where they were shooting from how the extras are dressed), and some of the most enthusiastically staged but inept special effects work ever in a giant monkey movie.<br /><br />It's here that the film won me over: It's enthusiasm just for being made. Frank Kramer is actually the same Gianfranco Parolini who brought the world SARTANA in 1968 and GOD'S GUN the year before this & was a very important director in the Spaghetti Western and action/adventure genre film scene from the 1960's/1970's and by the time of YETI he was probably delighted to get the work. I would say that this is his most adventuresome movie ever, or rather the one he took the most chances with, and may have felt more comfortable taking those chances with the film aimed at kids & families. The movie has a kind of reckless abandon to the way it was made that renders the technical errors or inconsistencies totally meaningless. Or rather they are part of the fun, and if the movie had been played seriously it wouldn't have worked -- WHICH IS EXACTLY WHY PETER JACKSON'S MOVIE SUCKED. <br /><br />He forgot to have fun with the material and let it dictate the outcome using his army of stupid Power Macintosh pod people animators, and with all it's faults + clunkiness, Kramer's YETI is actually closer to the spirit of why we watch movies like this, which is partly to see actors in ape suits tearing apart miniature sets on sound stages, not seamlessly animated vapid hours of nothing other than hard drive space. I'd rank this up there with KING KONG VERSUS GODZILLA and IT! CURSE OF THE GREAT GOLEM as one of the most enjoyably improbable giant rampaging monster movies ever. Because the movie looks so ""fake"" you can get over the story and just have fun watching stuff get wrecked, trampled, tossed about and smashed. Knowing that and armed with a fertile, energetic enthusiasm for having the chance to make the movie, Parolini pulled out all the stops and delivers a full bodied adventure that might get a bit rough for some of the small tykes but is the first movie I will ever share with the grandkids someday when their stupid parents leave them with me for a weekend. This is stuff for the ages and one of the most telling expressions of humanity to ever be committed to celluloid.<br /><br />10/10, it's about ten minutes too long but who cares, you only come around once and I'd rather go out with a smile on my face.",1
"To all the reviewers on this page, I would have to say this movie is worth seeing. So It was made in 1972, so what. The fashion in the movie was exactly the same fashion of its time. People who didn't study culture of the decades would think that this movie is a cheese ball. Compared to the modern series, `Left Behind,' (Which is made for our time right now) it does look cheezy. However, the only cheezy part of the movie is the fashion, which again was over 30 years in the past. BUT. The message that is sent in this film is very powerful, and carefully preserved. There is just so much to say, but I refuse to say it. (for fear of spoiling it) So go out and see this film! If you don't like the message that it sends, then you have issues, that need some attention!",1
"A favourite of mine,this movie tells of two feuding New York ""characters"", Steve Brodie(Raft) and ""Chuck"" Connors(Beery),who both strive to be the ""Main Guy"" in the Bowery in the late Nineteenth Century.<br /><br />Brodie(1863-1901) and Connors(1852-1913),were real people,though this is a heavily fictionalized account of their antics(based on a play).Brodie's legendary(did he do it?- it's still a cause of argument!),jump from the Brooklyn bridge(1886),for which he became famous,is shown here as happening around the same time as the Spanish-American war(1898).Director Walsh clearly had a great affection for the period,so beautifully recreated here,and it includes a wild rumbustious ragtime number from saloon singer Trixie Odbray(a young Pert Kelton).Raft is at his slickest as Brodie,and Beery shows again what a clever actor he was,as tough, big hearted, and at times quite touching Connors.Pretty Fay Wray is the love interest both the boys are pursuing.<br /><br />Full of life and energy,""The Bowery"" moves at a fast pace(unlike many early ""talkies"").It is not an easy movie to find,but is well worth looking out for.",1
As Most Off You Might off Seen Star Wars: Return Off The Jedi You May Knows Its A Good Movie But As You Might Have Seen On Video They M|might have a party At The end And They Just Probably End The Movie with the party with no a spirits or anything But on the original one (Live TV) When they are Partying But before i say more when Ben obi-wan dies in the Imperial Ship Or Death Star They Saw him Disappear And Yoda Dies From Either Old Age Or Internal Illness But because Luke killed Darth Vader (Real Name: Anakin Skywalker) When They All Are Partying At The end when Luke Or Someone Stops the Spirits Off Ben And Yoda Stands Starring At Him And Smiling While Another Spirit Appears Is its Darth Vader but not as A Sith As The Old Usual Selve off Him And Started Smiling with Ben And Yoda I reckon That made the movie ending a little bit interesting But the Producers or anyone should off made a spirit off Padme And Mace Windu And Other Jedis that got killed with Younglings Under There Arms in the back ground,1
"I thought this movie was LOL funny. It's a fun, not to be taken seriously, movie about one man's twisted views on life, love, and... well, ladies ""from the lowly bus station skank, to the high-class débutante... bus station skank."" Tim meadows plays a guy (Leon Phelps) who was raised by in a Playboy-style mansion by a Hugh Hefner-esquire father figure, surrounded constantly by beautiful porn models and actresses. When his ""father"" kicks him out on the street he must learn to fend for himself with nothing but the chauvinistic outlook on life that his youth has taught him... that and an unfathomable, nearly mystical level of charm and dumb luck. And so the hijinx begin! If you haven't seen this movie and you enjoy a light-hearted, semi-mindless, comedy/love story, then I highly recommend renting ""the Ladies' Man"".",1
"Hood of the Living Dead had a lot to live up to even before the opening credits began. First, any play on ""...of the living dead"" invokes His Holiness Mr. Romero and instantly sets up a high standard to which many movies cannot afford to aspire. And second, my movie-watching companion professed doubt that any urban horror film would surpass the seminal Leprechaun In the Hood. Skeptical, we settled in to watch. <br /><br />We were rewarded with a surprisingly sincere and good-hearted zombie film. Oh, certainly the budget is low, and of course the directors' amateurs friends populate the cast, but Hood of the Living Dead loves zombie cinema. Cheap? Yeah. But when it's this cheap, you can clearly see where LOVE holds it together. <br /><br />Ricky works in a lab during the day and as a surrogate parent to his younger brother at night. He dreams of moving out of Oakland. Before this planned escape, however, his brother is shot to death in a drive-by. Ricky's keen scientific mind presents an option superior to CPR or 911: injections of his lab's experimental regenerative formula. Sadly, little bro wakes up in an ambulance as a bloodthirsty Oakland zombie! Chaos and mayhem! I think it's more economical to eat your enemies than take vengeance in a drive-by, but then again, I'm a poor judge of the complexities of urban life. (How poor a judge? In response to a gory scene involving four men, I opined ""Ah-ha! White t-shirts on everyone so the blood shows up. Economical! I used the same technique in my own low-budget horror film."" Jordan replied, ""No, that's gang dress. White t-shirts were banned from New Orleans bars for a time as a result."" Oh.)<br /><br />A lot of the movie is set in someone's living room, so there's a great deal of hanging out and waiting for the zombies. But the characters are sympathetic and the movie is sincere-- it surpasses its budget in spirit. <br /><br />Zombie explanation: When man plays God, zombies arise! Or, perhaps: Follow FDA-approved testing rules before human experimentation! <br /><br />Contribution to the zombie canon: This is the first zombie movie I've seen with a drive-by shooting. As far as the actual zombies go, infection is spread with a bite as usual, but quite unusually head shots don't work-- it's heart shots that kill. Zombies have pulses, the absence of which proves true death. And these zombies make pretty cool jaguar-growl noises. <br /><br />Gratuitous zombie movie in-joke: A mercenary named Romero. Groan. <br /><br />Favorite zombie: Jaguar-noise little brother zombie, of course!",1
"Pierce Brosnan the newest but no longer James Bond, is an assassin. He is very very good at what he does, but he's getting old and tired. Greg Kinnair is really good as the straight and narrow business man. Now when the story opens the movie shows these two people in their separate lives. Then one night they are having drinks in a bar, and they begin to talk. Then all of a sudden you find these two people getting drawn together during a series of events. The story is excellent, the acting is top notch, and the humor is hilarious I never thought that Pierce Brosnan would be this funny, but he really is and I must say this movie is a must see.",1
"This is one of those Film's/pilot that if you knew BattleStar Galactica it helps, but isn't necessary. What makes this even more believable of a story than BSG is that this isn't something so far away in the future. This has such a depth to it that it is quite astonishing it was not released theatrically. The leads could not have been chosen better in such experienced & quite talented actors. Eric Stoltz is superb as the father who will do anything to be re-united w/his daughter however real or not she is & he'll do it no matter the cost. Paula Malcomson of ""Deadwood"" fame is terrific as his wife as well. You are not sure completely of his motives whether it's love or money or both, but that is what makes this pilot even more intriguing. I see a star in the making of Zoe played by the relative unknown Alessandra Torresani & her performance. Esai Morales is terrific in his desire to see his loved one again & just how wrong to be even considering what he wants more than his moral objections. I didn't think this would be a good idea when it was announced but from the pilot alone I am thrilled to see how we got to the BSG stage story. It's great to see Adama as a child already being affected & influenced by the different sorts of Robots starting to permeate life at this stage. I just hope that they can keep up the stories so we can figure out even more how they got the the Humanoid typed robots. This is an almost perfect pilot & I hope they can keep up the fantastic storytelling. Even the Visual effects are better than most of the garbage you see on the big screen. If you haven't gotten into BSG, @ least try this & I'll bet you become a fan & will want to see how the BSG story came to be.",1
"This couldn't have been better. The strong restraints on Mike Sullivan's expressions couldn't have been portrayed in any other way. Tom Hanks delivers the best performance of his career. Young Tyler Hoechlin drives an emotional wheel; playing the basis character for the story. And veteran Paul Newman gives one of his best character performances in a long time.<br /><br />This film is based on a bold graphic novel by Max Allan Collins and Richard Piers Rayner. This is a father/son story which basically employs the two candidates solely unfit for the roles. Mike Sullivan had no father as a child, so John Rooney took him in. Although a generous man, Mr. Rooney involved himself in organized crime. Therefore, the debt of Sullivan was only to be paid off in involving himself in the business. Now, Sullivan has a wife and two children and is trying to keep his children safe, but at the same time pay back his boss. The events to follow, will test Sullivan's loyalty and embrace his family's fate.<br /><br />With a great adaptation by David Self, the dialogue comes out seldomly, but yet very virtuous. The story unfolds in a beautiful 1930's setting (Brilliant Art Direction by Richard L. Johnson & Nancy Haigh) covered with a dark rainy (snow on the ground) exterior. Driving the story, is Thomas Newman's wonderful Irish score, settling in only when necessary.<br /><br />But the most important technical element in the film is Conrad L. Hall's beautiful photography. This is some of the best cinematography I've seen; and I watch a lot of films. The scene when Mike and Michael are in the car, entering Chicago is quite impressive. The shot starts at the front of the car, revealing Mike(Hanks) through the windshield. It subsequently dollys around to the side of the car, to see Michael(Hoechlin) awakening and peering out his side window. As it continues, it trucks sideways and dollys back, completely around the car and reveals a gorgeous scenic 1930's Chicago.<br /><br />With a great cast and crew, the principle man creates a brazenly amazing film. I'm talking about Sam Mendes, who made his feature film debut in 1999 with American Beauty. (won him various awards) Before American Beauty, Mendes worked as a play director for the British Theater, but decided that he wanted to move on saying that there was nothing new for him in theater. With only two films, Sam Mendes has marked himself in my book as one of the great directors (In a list of about twenty-five).<br /><br />The film illuminates a brazen genre that has its hits and misses and expresses the true theme brilliantly. The photography, acting and story is phenominal. I'm still waiting for Scorcesee's Gangs of New York, but for now, I'm fully confident in saying that this is the ""Best Film of the Year"". Considering it's competition (Signs, Insomnia, Minority Report) thats a strong statement.",1
"I was probably one of the few Australians not watching the tennis when this series aired. I have to say when William McInnes first appeared I though, that is one crappy actor! But as the series continued he toned down his performance and I totally loved him. He was such a rotten guy but he did make me laugh. I watched the show to see Hugo Speers (Heart and Bones, The Full Monty) and Tom Long (SeaChange, Two Hands). It was interesting to see Speers play a nice, quiet man and even more interesting to watch Tom Longs' rippling muscles! Sigh... Seriously, Long's performance was a total shock and really brilliant. He stole the show. Martin Sacks was good also in a small role, and the leading actress put in an entertaining performance. I'd recommend this programme if you enjoy stories with a twist and watching Tom Long walk around with no shirt on...",1
"My evaluation: 8/10<br /><br />I like a lot this movie. Compare to today brainless movie (just action and special effet and nothing new about ideas), ""Soylent Green"" ask to something that today doesn't exist anymore: To Think.<br /><br />Well it would not a big surprise a day human eat ""cookies"" which are create with body of human. With all what happen on this planet, and to see how people are so indifferent to all, this kind of future is possible.<br /><br />Sure this movie take some age but the idea behind the movie is actual again. Rich at Paradise, other in the hell. Well a luck today they are TV and idiocy like ""Reality Show"".<br /><br />TV is a good wash brain. It's pity to see that intelligence of human have not progress like technologies. Since writing all stop.<br /><br />If you like reality show this movie is not for you. If you believe all politician same too. If you don't like ask yourself question about now and future well never look this movie.",1
